,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,99,BOS,2017-10-17,102,CLE,1,0.03695679877660263,0,105.75,0.37593984962406013,110.25,1.0,0.6610169491525424
1,122,HOU,2017-10-17,121,GSW,0,0.040078644888082327,2,111.25,0.21551724137931033,120.25,1.0,0.8245614035087719
2,131,BKN,2017-10-18,140,IND,1,0.03337505214851899,4,106.75,0.425531914893617,109.75,1.0,0.6078431372549019
3,115,PHI,2017-10-18,120,WAS,1,0.044117647058823595,6,105.5,0.29411764705882354,112.0,1.0,0.75
4,109,MIA,2017-10-18,116,ORL,1,0.03779289493575222,8,104.5,0.6296296296296297,101.0,0.0,0.40816326530612246
5,90,CHA,2017-10-18,102,DET,1,0.03628117913832196,10,99.75,0.4444444444444444,102.25,1.0,0.5918367346938775
6,108,MIL,2017-10-18,100,BOS,0,0.04336043360433606,12,100.75,0.4878048780487805,102.25,1.0,0.5555555555555556
7,91,NOP,2017-10-18,103,MEM,1,0.04140786749482395,14,101.25,0.47619047619047616,103.25,1.0,0.5652173913043478
8,117,ATL,2017-10-18,111,DAL,0,0.05070993914807298,16,96.75,0.3448275862068966,102.25,1.0,0.7058823529411765
9,96,DEN,2017-10-18,106,UTA,1,0.037878787878787845,18,101.25,0.45454545454545453,103.75,1.0,0.5833333333333334
10,99,MIN,2017-10-18,107,SAS,1,0.04336043360433606,20,101.0,0.4878048780487805,102.5,1.0,0.5555555555555556
11,105,HOU,2017-10-18,100,SAC,0,0.04181184668989557,22,111.75,0.7560975609756098,104.75,0.0,0.2857142857142857
12,124,POR,2017-10-18,76,PHX,0,0.037878787878787845,24,111.0,0.5833333333333334,108.5,0.0,0.45454545454545453
13,101,CHI,2017-10-19,117,TOR,1,0.04444444444444451,26,96.25,0.1111111111111111,110.25,1.0,0.9333333333333333
14,84,NYK,2017-10-19,105,OKC,1,0.042424242424242475,28,101.5,0.13333333333333333,114.0,1.0,0.9090909090909091
15,108,LAC,2017-10-19,92,LAL,0,0.04480286738351258,30,112.75,0.7222222222222222,106.25,0.0,0.3225806451612903
16,102,BOS,2017-10-20,92,PHI,0,0.034782608695652195,32,107.0,0.43478260869565216,110.0,1.0,0.6
17,91,ATL,2017-10-20,109,CHA,1,0.039787798408488007,34,100.5,0.38461538461538464,105.0,1.0,0.6551724137931034
18,111,DET,2017-10-20,115,WAS,1,0.03987240829346095,36,102.5,0.30303030303030304,109.0,1.0,0.7368421052631579
19,116,CLE,2017-10-20,97,MIL,0,0.04707884288145214,38,104.25,0.5121951219512195,105.25,1.0,0.5348837209302325
20,114,POR,2017-10-20,96,IND,0,0.04784688995215314,40,112.25,0.696969696969697,106.25,0.0,0.3508771929824561
21,121,ORL,2017-10-20,126,BKN,1,0.04140786749482395,42,112.0,0.47619047619047616,114.0,1.0,0.5652173913043478
22,97,UTA,2017-10-20,100,MIN,1,0.03703703703703698,44,96.0,0.37037037037037035,101.0,1.0,0.6666666666666666
23,93,SAC,2017-10-20,88,DAL,0,0.04761904761904767,46,97.75,0.3333333333333333,103.75,1.0,0.7142857142857143
24,128,GSW,2017-10-20,120,NOP,0,0.04195270785659799,48,115.0,0.8245614035087719,106.0,0.0,0.21739130434782608
25,132,LAL,2017-10-20,130,PHX,0,0.03205128205128216,50,108.5,0.4166666666666667,112.0,1.0,0.6153846153846154
26,94,PHI,2017-10-21,128,TOR,1,0.040048277375466235,52,105.25,0.25510204081632654,113.75,1.0,0.7849462365591398
27,114,ORL,2017-10-21,93,CLE,0,0.040085679314565414,54,102.25,0.14534883720930233,113.75,1.0,0.8947368421052632
28,91,DAL,2017-10-21,107,HOU,1,0.040085679314565414,56,102.25,0.14534883720930233,113.75,1.0,0.8947368421052632
29,111,DET,2017-10-21,107,NYK,0,0.04707884288145214,58,102.75,0.5348837209302325,101.75,0.0,0.5121951219512195
30,108,IND,2017-10-21,112,MIA,1,0.03993855606758823,60,102.0,0.2304147465437788,111.5,1.0,0.8095238095238095
31,87,SAS,2017-10-21,77,CHI,0,0.039958213632802275,62,105.25,0.8571428571428571,95.25,0.0,0.18281535648994515
32,101,GSW,2017-10-21,111,MEM,1,0.040100250626566414,64,110.5,0.7894736842105263,102.0,0.0,0.2506265664160401
33,110,POR,2017-10-21,113,MIL,1,0.034782608695652195,66,102.75,0.43478260869565216,105.75,1.0,0.6
34,79,SAC,2017-10-21,96,DEN,1,0.040085679314565414,68,100.0,0.14534883720930233,112.5,1.0,0.8947368421052632
35,87,OKC,2017-10-21,96,UTA,1,0.035014005602240994,70,102.0,0.6428571428571429,98.0,0.0,0.39215686274509803
36,88,PHX,2017-10-21,130,LAC,1,0.03997707890922575,72,103.25,0.1044932079414838,116.75,1.0,0.9354838709677419
37,104,ATL,2017-10-22,116,BKN,1,0.04707884288145214,74,109.5,0.5121951219512195,110.5,1.0,0.5348837209302325
38,115,MIN,2017-10-22,113,OKC,0,0.04285714285714293,76,104.0,0.4,108.0,1.0,0.6428571428571429
39,119,NOP,2017-10-22,112,LAL,0,0.04105571847507328,78,114.0,0.6774193548387096,108.5,0.0,0.36363636363636365
40,97,PHI,2017-10-23,86,DET,0,0.03205128205128216,80,105.25,0.4166666666666667,108.25,1.0,0.6153846153846154
41,93,ATL,2017-10-23,104,MIA,1,0.04166666666666674,82,97.25,0.16666666666666666,107.75,1.0,0.875
42,98,MEM,2017-10-23,90,HOU,0,0.04576659038901609,84,102.75,0.2631578947368421,110.75,1.0,0.782608695652174
43,94,CHA,2017-10-23,103,MIL,1,0.04480286738351258,86,98.5,0.3225806451612903,105.0,1.0,0.7222222222222222
44,133,GSW,2017-10-23,103,DAL,0,0.04444444444444451,88,115.5,0.9333333333333333,102.0,0.0,0.1111111111111111
45,97,TOR,2017-10-23,101,SAS,1,0.03628117913832196,90,99.75,0.4444444444444444,102.25,1.0,0.5918367346938775
46,109,WAS,2017-10-23,104,DEN,0,0.03703703703703698,92,109.5,0.37037037037037035,114.5,1.0,0.6666666666666666
47,115,SAC,2017-10-23,117,PHX,1,0.037878787878787845,94,104.5,0.5833333333333334,102.0,0.0,0.45454545454545453
48,121,BKN,2017-10-24,125,ORL,1,0.03703703703703698,96,111.75,0.37037037037037035,116.75,1.0,0.6666666666666666
49,112,CHI,2017-10-24,119,CLE,1,0.044871794871794934,98,95.25,0.08333333333333333,110.25,1.0,0.9615384615384616
50,89,NYK,2017-10-24,110,BOS,1,0.044117647058823595,100,100.5,0.29411764705882354,107.5,1.0,0.75
51,130,IND,2017-10-24,107,MIN,0,0.04166666666666674,102,103.75,0.16666666666666666,114.25,1.0,0.875
52,93,NOP,2017-10-24,103,POR,1,0.03703703703703698,104,105.75,0.37037037037037035,110.75,1.0,0.6666666666666666
53,84,UTA,2017-10-24,102,LAC,1,0.03703703703703698,106,95.5,0.37037037037037035,100.5,1.0,0.6666666666666666
54,101,MIN,2017-10-25,122,DET,1,0.037878787878787845,108,103.25,0.45454545454545453,105.75,1.0,0.5833333333333334
55,105,HOU,2017-10-25,104,PHI,0,0.03205128205128216,110,112.0,0.6153846153846154,109.0,0.0,0.4166666666666667
56,93,DEN,2017-10-25,110,CHA,1,0.037878787878787845,112,107.0,0.5833333333333334,104.5,0.0,0.45454545454545453
57,107,CLE,2017-10-25,112,BKN,1,0.0429975429975431,114,115.75,0.7727272727272727,107.75,0.0,0.2702702702702703
58,117,SAS,2017-10-25,100,MIA,0,0.034782608695652195,116,99.75,0.6,96.75,0.0,0.43478260869565216
59,96,IND,2017-10-25,114,OKC,1,0.042424242424242475,118,102.25,0.13333333333333333,115.75,1.0,0.9090909090909091
